,Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Parent_Trap,Is_Satellite,Mos_WNV_Prob,Trap_Ever_Wnv,Num_Years_Trap_WNV_Detection,Max_One_Year_Trap_WNV_Detections,Total_Train_Trap_WNV_Detections,Trap_WNV_Prob,NumMos_3ob_avg,Trap_Species_WNV_Prob,Trap_Species_Mos_Mean,Trap_Species_Mos_Median,Trap_Species_Mos_25percent,Trap_Species_Mos_75percent,Trap_Mos_Mean,Trap_Mos_Median,Trap_Mos_25percent,Trap_Mos_75percent,Species_Mos_Mean,Species_Mos_Median,Species_Mos_25percent,Species_Mos_75percent,Species_Obs_Proportion
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,10.0,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
1,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,19.0,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
2,2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,35.6666666667,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
3,2007-06-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,40.3333333333,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
4,2007-07-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,75.0,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
5,2007-07-11,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,18.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,311.666666667,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
6,2007-07-18,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,7.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,489.333333333,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
7,2007-07-27,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,23.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,618.0,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
8,2007-08-01,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,104.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1490.33333333,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
9,2007-08-07,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,13.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,812.0,0.142857142857,30.6507936508,14.0,4.0,29.0,25.2380952381,10.0,3.0,24.0,17.3204391009,5.0,2.0,14.0,0.490732306963
