,Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Parent_Trap,Is_Satellite,Mos_WNV_Prob,Trap_Ever_Wnv,Num_Years_Trap_WNV_Detection,Max_One_Year_Trap_WNV_Detections,Total_Train_Trap_WNV_Detections,Trap_WNV_Prob,NumMos_3ob_avg,Trap_Species_WNV_Prob
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,10.0,0.142857142857
1,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,19.0,0.142857142857
2,2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,35.6666666667,0.142857142857
3,2007-06-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,40.3333333333,0.142857142857
4,2007-07-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,75.0,0.142857142857
5,2007-07-11,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,18.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,311.666666667,0.142857142857
6,2007-07-18,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,7.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,489.333333333,0.142857142857
7,2007-07-27,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,23.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,618.0,0.142857142857
8,2007-08-01,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,104.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1490.33333333,0.142857142857
9,2007-08-07,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,13.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,812.0,0.142857142857
10,2007-08-15,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1166.0,0.142857142857
11,2007-08-21,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,23.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,533.0,0.142857142857
12,2007-08-24,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,27.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,810.333333333,0.142857142857
13,2007-09-04,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,10.0,1.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,605.333333333,0.142857142857
14,2007-09-12,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,486.0,0.142857142857
15,2007-09-18,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,24.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,492.0,0.142857142857
16,2007-09-24,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,33.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,406.333333333,0.142857142857
17,2007-10-04,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,29.0,0.0,2007.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,474.333333333,0.142857142857
18,2009-05-28,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,311.333333333,0.142857142857
19,2009-06-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,29.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,187.666666667,0.142857142857
20,2009-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,241.333333333,0.142857142857
21,2009-06-12,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,5.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,308.333333333,0.142857142857
22,2009-06-19,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,22.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,397.333333333,0.142857142857
23,2009-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,112.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1013.66666667,0.142857142857
24,2009-07-06,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,619.0,0.142857142857
25,2009-07-10,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,129.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,684.666666667,0.142857142857
26,2009-07-17,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,96.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1089.33333333,0.142857142857
27,2009-07-24,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,215.0,1.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1141.33333333,0.142857142857
28,2009-07-31,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,14.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,935.666666667,0.142857142857
29,2009-08-07,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,12.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,818.666666667,0.142857142857
30,2009-08-25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,14.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,527.666666667,0.142857142857
31,2009-09-14,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,6.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,221.666666667,0.142857142857
32,2009-09-17,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,4.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,372.666666667,0.142857142857
33,2009-09-25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,27.0,0.0,2009.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,545.333333333,0.142857142857
34,2011-06-17,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,14.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,167.666666667,0.142857142857
35,2011-06-24,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,4.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,224.666666667,0.142857142857
36,2011-06-30,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,2.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,557.333333333,0.142857142857
37,2011-07-11,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,24.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,769.666666667,0.142857142857
38,2011-07-15,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,37.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1233.33333333,0.142857142857
39,2011-07-25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,23.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1412.66666667,0.142857142857
40,2011-07-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,29.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1414.66666667,0.142857142857
41,2011-08-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,21.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,1109.33333333,0.142857142857
42,2011-08-12,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,14.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,760.333333333,0.142857142857
43,2011-08-19,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,552.0,0.142857142857
44,2011-08-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,28.0,0.0,2011.0,T002,0.0,0.058808,1.0,4,7.0,15.0,0.102040816327,418.333333333,0.142857142857
